genome	0	210957	4641652	0.0454487
genome	1	572072	4641652	0.123247
genome	2	864053	4641652	0.186152
genome	3	903568	4641652	0.194665
genome	4	768143	4641652	0.165489
genome	5	556134	4641652	0.119814
genome	6	354472	4641652	0.0763676
genome	7	201926	4641652	0.043503
genome	8	109075	4641652	0.0234992
genome	9	53990	4641652	0.0116316
genome	10	25679	4641652	0.0055323
genome	11	12655	4641652	0.0027264
genome	12	5322	4641652	0.00114657
genome	13	2106	4641652	0.000453718
genome	14	864	4641652	0.000186141
genome	15	358	4641652	7.71277e-05
genome	16	180	4641652	3.87793e-05
genome	17	98	4641652	2.11132e-05
