genome	0	2601	4641652	0.000560361
genome	1	11496	4641652	0.0024767
genome	2	34515	4641652	0.00743593
genome	3	79648	4641652	0.0171594
genome	4	153221	4641652	0.03301
genome	5	262191	4641652	0.0564866
genome	6	378907	4641652	0.0816319
genome	7	486027	4641652	0.10471
genome	8	558276	4641652	0.120275
genome	9	566682	4641652	0.122086
genome	10	512467	4641652	0.110406
genome	11	445865	4641652	0.0960574
genome	12	351729	4641652	0.0757767
genome	13	257367	4641652	0.0554473
genome	14	183742	4641652	0.0395855
genome	15	128246	4641652	0.0276294
genome	16	88271	4641652	0.0190172
genome	17	58144	4641652	0.0125266
genome	18	35288	4641652	0.00760247
genome	19	21104	4641652	0.00454666
genome	20	12265	4641652	0.00264238
genome	21	6592	4641652	0.00142018
genome	22	3495	4641652	0.000752965
genome	23	1827	4641652	0.00039361
genome	24	944	4641652	0.000203376
genome	25	454	4641652	9.781e-05
genome	26	193	4641652	4.158e-05
genome	27	87	4641652	1.87433e-05
genome	28	7	4641652	1.50808e-06
genome	29	1	4641652	2.15441e-07
